"participant_id","age","sex","society_type","university_degree","education_subject","appear_online_test_2_years","condition","time_question","device_changed_question","browser_changed_question","question_number","answer_correct","cheated_question","cheated_overall","device_changed_overall","browser_changed_overall","test_score","UX_Pragmatic","UX_Hedonic","UX_overall","panas_interested","panas_distressed","panas_excited","panas_upset","panas_strong","panas_guilty","panas_scared","panas_hostile","panas_enthusiastic","panas_proud","panas_irritable","panas_alert","panas_ashamed","panas_inspired","panas_nervous","panas_determined","panas_attentive","panas_jittery","panas_active","panas_afraid","positive_emotion","negative_emotion","self_efficacy","preference_for_message","correct_interpretation","not_noticed","reminded_honesty","determined_not_to_cheat","distracted","stopped_cheating","incentivised_to_look_online","no_impact","focussed_on_solving_questions","neutral_impact","feeling_watched","feeling_uncomfortable","feeling_disappointed","feeling_concerned","feeling_stressed","feeling_silly","feeling_criticised","feeling_sad","feeling_guilty","feeling_panicked","feeling_scared","feeling_worried","feeling_anxious","feeling_nervous","feeling_alerted","feeling_warned","feeling_cautious","feeling_rushed","feeling_annoyed","feeling_threatened","feeling_invaded","feeling_judged","feeling_untrusted","feeling_confused","feeling_bluffed","feeling_wasted","feeling_safe","feeling_relaxed","feeling_aware","feeling_normal","feeling_disciplined","feeling_motivated","feeling_proud","feeling_convinced","positive_views_on_others","negative_views_on_others","neutral_views_on_others","similar_views_on_others"
"P11","31","0","0","1","Business","31 or above","Control","28","0","0","2","0","0","0","0","0","0","2","-1","0.5","3","2","3","1","1","1","1","1","3","2","2","2","1","1","1","3","3","1","1","1","2.2","1.2","3.5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P12","33","1","0","1","","1-5","Warning","132","0","0","2","0","1","1","0","0","0","0","0","0","3","3","3","3","3","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","2.7","3","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"P13","48","0","0","1","STEM","6-10","Honor code reminder","193","0","0","2","0","0","0","0","0","0","2.5","-3","-0.25","3","1","1","1","1","1","1","1","1","1","2","2","1","2","1","3","3","1","3","1","2","1.1","4","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"P14","51","1","0","1","STEM","None","Warning","321","0","0","2","0","0","0","0","0","0","-0.75","0.5","-0.125","4","3","3","3","2","3","1","1","2","1","2","3","2","1","2","2","3","2","2","1","2.3","2","2.25","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"P15","21","0","0","1","Healthcare","31 or above","Honor code reminder","89","0","0","2","0","0","0","0","0","0","3","0","1.5","4","2","3","3","3","1","1","1","1","1","1","5","2","1","3","3","5","2","5","2","3.1","1.8","3.25","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"P16","20","0","0","0","STEM","31 or above","Warning","94","0","0","2","0","0","0","0","0","0.25","1.25","-1.25","0","4","3","1","1","2","1","1","2","3","3","3","3","1","2","3","4","4","3","4","1","3","1.9","3.75","4","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P17","62","0","0","0","Business","6-10","Control","23","0","0","2","0","0","0","0","0","0","-2","-2.5","-2.25","2","2","1","1","1","1","1","1","2","1","3","3","1","1","1","3","4","2","3","1","2.1","1.4","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P18","25","0","0","1","Social","None","Honor code reminder","85","0","0","2","0","0","0","0","0","0","2.25","1","1.625","5","2","5","1","2","1","1","1","5","3","3","3","1","5","3","4","4","3","3","1","3.9","1.7","2.5","5","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P20","22","1","0","0","Arts","11-20","Monitoring","129","0","0","2","0","0","0","0","0","0","-3","0.5","-1.25","3","4","2","4","1","1","1","2","1","1","5","2","2","1","1","2","3","2","4","1","2","2.3","2.875","3","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"P19","22","0","0","0","Arts","1-5","Warning","129","0","0","2","0","0","0","0","0","0","2.25","0.25","1.25","3","5","4","1","1","1","2","1","2","1","1","4","1","1","4","2","5","3","1","1","2.4","2","3","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"P21","26","0","0","1","Social","1-5","Control","116","0","0","2","0","0","0","0","0","0","2","-0.75","0.625","3","4","2","2","3","1","2","1","3","2","3","4","2","2","3","3","3","2","2","1","2.7","2.1","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P22","33","1","1","1","Arts","6-10","Monitoring","22","0","1","2","0","1","1","0","1","0","1.5","0.5","1","4","3","4","2","2","1","1","1","3","3","2","3","1","2","2","3","3","3","4","1","3.1","1.7","3","4","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P23","55","0","0","1","Business","1-5","Honor code reminder","82","0","0","2","0","0","0","0","0","0","1","1.75","1.375","5","3","3","1","2","1","1","1","4","3","1","5","1","3","4","5","5","2","3","1","3.8","1.6","3.25","4","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"P24","44","0","0","1","Social","None","Warning","43","0","0","2","0","0","0","0","0","0","0.5","-0.5","0","3","1","1","1","2","1","1","1","1","1","3","3","1","1","3","2","3","2","1","1","1.8","1.5","2","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P25","55","0","0","0","Arts","None","Control","55","0","0","2","0","1","1","0","0","0","-1","0.5","-0.25","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P26","36","0","0","1","Social","1-5","Monitoring","58","0","0","2","0","0","0","0","0","0","2","1","1.5","4","3","2","1","1","1","1","1","4","2","1","4","1","2","2","2","4","1","2","1","2.7","1.3","2.875","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"P27","28","1","0","1","STEM","1-5","Control","102","0","0","2","0","0","1","0","0","0","1.75","-0.75","0.5","5","2","4","1","4","1","2","1","5","5","2","4","1","4","3","5","5","3","2","2","4.3","1.8","3.875","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P28","22","0","0","1","Social","31 or above","Monitoring","95","0","0","2","0","0","0","0","0","0","3","0.25","1.625","2","1","2","1","2","1","1","1","2","1","1","3","2","2","1","3","3","1","2","1","2.2","1.1","2.375","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P31","26","0","1","1","STEM","None","Warning","175","0","0","2","0","0","0","0","0","0","2.25","1.75","2","4","3","3","1","3","1","1","1","4","3","2","4","2","4","2","5","3","4","4","2","3.7","1.9","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"P29","27","1","0","1","Healthcare","None","Honor code reminder","106","0","0","2","1","0","0","0","0","0.25","1.25","0.75","1","4","3","2","1","1","1","1","1","3","3","2","1","1","2","1","4","4","1","1","1","2.5","1.3","4","5","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"P30","28","0","0","1","STEM","31 or above","Warning","99","0","0","2","0","0","0","0","0","0","2","-2","0","3","2","2","2","2","1","1","1","2","1","1","2","1","2","1","2","2","1","1","1","1.9","1.2","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"P32","35","0","0","0","","None","Monitoring","15","0","1","2","0","1","1","0","1","0","-1","-0.5","-0.75","5","3","2","3","3","1","2","1","1","1","1","4","1","4","1","5","4","1","4","2","3.3","1.6","2.375","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"P33","36","1","0","1","Business","1-5","Honor code reminder","103","0","0","2","0","0","0","0","0","0","2","0","1","4","4","3","4","3","3","2","2","3","1","4","4","4","2","2","3","4","4","2","2","2.9","3.1","1.375","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"P34","20","0","0","1","Social","1-5","Control","119","0","0","2","0","1","1","0","0","0","0.5","1","0.75","5","2","4","1","1","1","1","1","4","4","1","4","1","1","3","5","4","2","2","1","3.4","1.4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P35","25","0","0","1","Healthcare","11-20","Monitoring","100","0","0","2","0","0","0","0","0","0","1.75","1.75","1.75","3","2","4","1","3","3","1","1","3","4","1","1","1","4","2","4","4","2","1","1","3.1","1.5","4","4","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"P36","43","0","0","0","Business","1-5","Honor code reminder","111","0","1","2","0","1","1","0","1","0","-0.25","0.5","0.125","4","4","2","1","1","1","1","1","4","2","1","4","1","3","2","3","4","1","3","1","3","1.4","2.75","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"P37","20","0","0","0","Social","1-5","Warning","153","0","0","2","0","0","0","0","0","0","0.75","1.5","1.125","4","3","2","1","1","1","1","1","3","1","1","3","1","1","2","3","3","2","2","1","2.3","1.4","3.75","3","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"P38","53","1","0","1","Business","11-20","Control","75","0","0","2","0","0","0","0","0","0","-1.75","1","-0.375","4","3","4","3","3","2","2","2","4","3","4","3","1","4","2","4","4","2","3","2","3.6","2.3","2.125","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P39","18","1","1","0","STEM","1-5","Warning","126","0","0","2","1","0","0","0","0","0.5","1.75","1.5","1.625","4","4","4","3","4","1","2","1","4","4","1","1","2","3","4","4","4","4","4","2","3.6","2.4","4","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"P40","21","1","1","1","STEM","6-10","Control","163","0","0","2","0","0","0","0","0","0","0","-1.5","-0.75","2","1","1","1","1","1","1","1","1","1","1","3","1","1","1","3","3","1","3","1","1.9","1","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P41","55","0","0","1","Arts","31 or above","Warning","80","0","0","2","0","0","0","0","0","0","3","1.75","2.375","4","2","3","2","1","2","1","1","3","1","1","4","3","2","4","4","4","2","4","2","3","2","3.25","4","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"P42","48","0","0","1","Social","1-5","Monitoring","86","0","0","2","0","0","0","0","0","0","0","0.75","0.375","4","4","3","2","2","1","1","1","1","1","2","3","2","2","3","3","3","1","3","2","2.5","1.9","2.125","3","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P43","31","0","0","1","Healthcare","None","Honor code reminder","128","0","0","2","0","0","0","0","0","0","2.75","-0.75","1","5","4","3","2","1","1","2","1","1","1","2","4","1","1","2","5","4","3","2","2","2.7","2","3.875","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"P44","67","0","0","0","Business","21-30","Monitoring","64","0","0","2","0","0","0","0","0","0","-1.5","0.75","-0.375","4","2","2","2","2","2","1","1","3","1","1","2","2","2","2","3","3","2","4","3","2.6","1.8","3.125","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"P45","23","1","0","0","STEM","1-5","Control","83","0","0","2","1","0","0","0","0","0.25","0.25","-2.25","-1","1","4","1","4","1","2","4","2","1","1","3","3","4","1","2","1","3","2","1","2","1.4","2.9","2.5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P46","36","0","0","1","Arts","1-5","Honor code reminder","110","0","0","2","1","0","0","0","0","0.25","3","2.25","2.625","5","1","2","1","2","1","1","1","3","1","1","5","1","2","1","5","5","1","4","1","3.4","1","3.25","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P47","50","0","0","1","Business","31 or above","Monitoring","109","0","0","2","0","0","0","0","0","0","1","1.25","1.125","4","4","2","1","2","1","4","1","3","2","2","5","1","3","5","4","5","4","3","4","3.3","2.7","1.75","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"P48","27","0","1","1","Business","1-5","Honor code reminder","119","0","0","2","0","0","0","0","0","0","2.25","2.5","2.375","5","2","4","1","4","1","1","2","4","4","2","2","1","4","2","3","5","2","5","2","4","1.6","4.5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"P49","23","0","0","1","Arts","21-30","Warning","130","0","0","2","0","0","0","0","0","0","-2.5","-1.75","-2.125","2","5","1","4","1","1","5","3","1","1","5","5","5","1","5","3","4","5","4","5","2.3","4.3","2.125","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P50","34","0","0","1","Healthcare","1-5","Warning","99","0","0","2","0","0","0","0","0","0","0","-0.5","-0.25","3","2","1","1","2","1","1","1","3","2","2","3","1","2","2","2","2","2","2","1","2.2","1.4","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P51","44","1","0","1","Business","6-10","Warning","34","0","0","2","0","0","0","0","0","0","2","-1","0.5","4","3","2","1","2","1","1","1","3","2","2","4","2","3","3","3","4","4","4","2","3.1","2","3.875","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"P52","53","1","0","1","STEM","11-20","Warning","162","0","0","2","0","0","0","0","0","0","2.25","0","1.125","3","1","2","1","1","1","1","1","3","1","2","1","1","1","1","3","4","1","2","1","2.1","1.1","2.375","3","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P53","41","0","0","1","Business","6-10","Control","154","0","0","2","0","0","0","0","0","0","2.75","-1.5","0.625","3","5","2","4","1","4","4","4","2","1","3","5","5","1","4","3","5","5","5","5","2.8","4.3","2.125","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P54","22","0","1","1","Healthcare","11-20","Control","219","0","0","2","0","1","1","0","0","0","2","0.75","1.375","4","1","4","1","3","1","1","1","5","4","2","5","1","3","3","5","5","2","3","1","4.1","1.4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P55","34","1","0","1","STEM","6-10","Control","77","0","0","2","0","0","0","0","0","0","0","1","0.5","4","2","3","2","1","1","1","1","2","2","2","3","2","2","3","4","3","1","3","2","2.7","1.7","3.25","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P56","28","0","0","0","Social","1-5","Control","32","0","0","2","0","0","0","0","0","0","2","1.75","1.875","2","2","1","1","2","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1.5","1.1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P57","41","0","0","1","STEM","1-5","Monitoring","65","0","0","2","0","0","0","0","0","0","1","0.5","0.75","4","2","3","1","1","1","2","1","3","1","1","4","1","1","4","1","4","4","4","2","2.6","1.9","2.125","2","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P58","37","0","0","0","Healthcare","6-10","Control","103","0","0","2","0","0","0","0","0","0","3","0","1.5","2","2","1","1","1","2","1","1","1","1","2","5","2","1","1","2","5","1","3","1","2.2","1.4","1.25","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P59","44","0","0","1","Other","1-5","Control","26","0","0","2","0","0","0","0","0","0","-0.5","0.75","0.125","1","2","1","1","1","1","1","1","1","1","3","4","4","1","1","2","3","2","4","2","1.9","1.8","1.625","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P60","21","0","0","1","Social","1-5","Warning","61","0","0","2","0","0","0","0","0","0","-1.75","-1.25","-1.5","4","3","2","3","3","2","2","2","3","3","3","3","3","2","2","3","3","3","3","3","2.9","2.6","2","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"P61","29","0","0","0","","11-20","Monitoring","172","0","0","2","0","0","0","0","0","0","1.75","-0.25","0.75","5","4","4","1","1","1","2","1","4","1","3","3","1","1","2","3","4","2","2","2","2.8","1.9","2.625","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"P62","50","0","0","1","Arts","1-5","Warning","91","0","0","2","0","0","0","0","0","0.25","0.75","1","0.875","4","1","2","1","2","1","2","2","3","2","1","4","2","1","2","3","3","4","2","1","2.6","1.7","3.125","4","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"P63","29","0","0","1","Social","6-10","Control","84","0","0","2","0","0","0","0","0","0","0.25","0","0.125","4","1","3","1","3","1","1","1","4","3","1","4","1","2","1","5","3","1","4","1","3.5","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P64","65","1","0","0","Business","21-30","Monitoring","87","0","0","2","1","0","0","0","0","0.33333333333333","0.75","0.75","0.75","5","4","4","3","1","1","4","2","3","1","2","5","2","3","4","4","5","4","4","4","3.5","3","2.75","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"P65","62","0","0","0","Business","1-5","Monitoring","64","0","0","2","0","0","0","0","0","0","0.25","0.5","0.375","4","1","3","2","2","2","2","2","2","2","2","2","2","2","2","2","4","2","4","2","2.7","1.9","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
